title,world_revenue,distributor
Wallflower,"$3,801 ",Passion River
All About Nina,"$100,335 ",The Orchard
Rottentail,"$3,383 ",Ammo Content
The Man Who Invented Christmas,"$8,096,007 ",Bleecker Street Media
La Flor,"$4,032 ",Grasshopper Film
Revenge,"$913,331 ",Neon
Andrei Rublev,"$102,021 ",Janus Films
The Fate of Lee Khan,"$4,295 ",Film Movement
Detective K: Secret of the Living Dead,"$18,603,476 ",Well Go USA Entertainment
Never Heard,"$105,271 ",Fathom Events
In Between,"$1,679,952 ",Film Movement
National Theatre Live: Julius Caesar,"$107,057 ",Fathom Events
Happy Phirr Bhag Jayegi,"$417,669 ",Eros International
I'm Leaving Now,"$4,488 ",The Cinema Guild
Ismael's Ghosts,"$3,075,562 ",Magnolia Pictures
Namaste England,"$279,934 ",Eros International
Memoir of War,"$2,980,982 ",Music Box Films
Slaughterhouse Rulez,"$730,762 ",Sony Pictures Releasing
"Love, Cecil","$107,940 ",Zeitgeist Films
Kaili Blues,"$935,236 ",Grasshopper Film
Unstoppable,"$11,845,347 ",Well Go USA Entertainment
Ballet Blanc,"$4,832 ",Indican Pictures
Crepitus,"$4,846 ",Indican Pictures
Tito and the Birds,"$4,332 ",Shout! Factory
At War,"$2,235,052 ",Cinema Libre Studio
Mary Shelley,"$2,096,600 ",IFC Films
SGT. Will Gardner,"$4,405 ",Cinedigm Entertainment Group
Sweet Country,"$1,847,693 ",The Samuel Goldwyn Company
What You Gonna Do When the World's on Fire?,"$37,195 ",KimStim
Lu Over the Wall,"$161,253 ",GKIDS
Amazing Grace,"$7,771,312 ",Neon
A Chance in the World - Premiere,"$112,007 ",Fathom Events
Malek,"$4,898 ",Entertainment One
Chulas Fronteras,"$5,021 ",Argot Pictures
"Roman J. Israel, Esq.","$13,025,860 ",Sony Pictures Releasing
The World Before Your Feet,"$268,644 ",Greenwich Entertainment
The Negotiation,"$15,229,193 ",CJ Entertainment
The Captain,"$1,196,669 ",Music Box Films
Intuitions,"$10,606 ",Indican Pictures
Anna and the Apocalypse,"$670,430 ",Orion Pictures
Spiral Farm,"$6,517 ",Indican Pictures
The Garden,"$5,006 ",Kino Lorber
Halloween,"$255,485,178 ",Universal Pictures
Cold Blood,"$1,009,888 ",Screen Media Films
Kedarnath,"$1,538,846 ",PackYourBag Films
Chokehold,"$5,200 ",Ammo Content
Body at Brighton Rock,"$5,123 ",Magnolia Pictures
Série noire,"$5,633 ",Rialto Pictures
Love Goes Public,"$5,700 ",Aspiration Entertainment
The Miracle of the Little Prince,"$5,553 ",Film Movement
Under the Eiffel Tower,"$6,291 ",The Orchard
The Meanest Man in Texas,"$8,850 ",Ammo Content
Deep Sea,"$98,209,886 ",Warner Bros.
The Dawn Wall,"$112,191 ",The Orchard
The Hottest August,"$8,440 ",Grasshopper Film
To Be of Service,"$6,173 ",First Run
The Golden Glove,"$604,147 ",Strand Releasing
Relaxer,"$6,133 ",Oscilloscope
Patrick the Pug,"$3,369,468 ",Independent
Hymn: Sarah Brightman In Concert,"$124,707 ",Fathom Events
A Boy. A Girl. A Dream.,"$112,552 ",The Samuel Goldwyn Company
Nostalgia,"$114,603 ",Bleecker Street Media
George Takei's Allegiance,"$117,162 ",Fathom Events
Bodied,"$113,956 ",Neon
Till The End Of The World,"$37,013,733 ",China Lion Film Distribution
Going Attractions: The Definitive Story of the Movie Palace,"$6,763 ",Passion River
Rosie,"$26,441 ",Blue Fox Entertainment
Border,"$2,177,678 ",Neon
Capernaum,"$64,413,178 ",Sony Pictures Classics
Ryuichi Sakamoto: Coda,"$960,212 ",MUBI
Mantra: Sounds Into Silence,"$135,684 ",GathrFilms
Gonjiam: Haunted Asylum,"$21,041,950 ",Well Go USA Entertainment
The Great Buster,"$125,807 ",Cohen Media Group
Bisbee '17,"$117,470 ",4th Row Films
The Plagiarists,"$7,768 ",KimStim
Beloved Beast,"$7,301 ",Indican Pictures
This Magnificent Cake!,"$7,888 ",GKIDS
Genesis,"$13,856 ",Film Movement
Five Seasons: The Gardens of Piet Oudolf,"$130,319 ",Argot Pictures
I'll Take Your Dead,"$7,692 ",Breakthrough Entertainment Inc.
King of Thieves,"$11,353,515 ",Saban Films
Gregory's Girl,"$7,710 ",Film Movement
Geostorm,"$221,600,160 ",Warner Bros.
'85: The Greatest Team in Football History,"$124,573 ",Fathom Events
Yu-Gi-Oh!: The Movie - Pyramid of Light,"$121,688 ",Fathom Events
Destroyer,"$5,580,940 ",Annapurna Pictures
Ghost Fleet,"$7,850 ",Abramorama
Sleepless in Seattle,"$127,281 ",Fathom Events
The Young Karl Marx,"$4,870,373 ",The Orchard
Colossal Youth,"$8,968 ",Giant Steps Productions
The Metropolitan Opera HD Live: Verdi: Il Trovatore,"$129,393 ",Fathom Events
Love After Love,"$121,098 ",IFC Films
Monster Family,"$27,890,108 ",Viva Pictures Distribution
Bel Canto,"$350,264 ",Screen Media Films
Around India with a Movie Camera,"$11,568 ",Icarus Films
Studio 54,"$227,062 ",Zeitgeist Films
Cracked Up,"$9,197 ",Abramorama
Frantz Fanon: Black Skin White Mask,"$9,025 ",Film Movement
Support the Girls,"$139,550 ",Magnolia Pictures
When Lambs Become Lions,"$9,337 ",Oscilloscope
Fritz Lang's Indian Epic,"$9,345 ",Film Movement
Streetwise,"$9,904 ",Janus Films
The Spanish Prisoner,"$9,589 ",Ammo Content
Shooting the Mafia,"$32,042 ",Cohen Media Group
Olivia,"$9,934 ",Icarus Films
The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin,"$129,498 ",Fathom Events
The Metropolitan Opera HD Live: Puccini: Madama Butterfly,"$129,730 ",Fathom Events
The Eyes of Orson Welles,"$68,328 ",Janus Films
Daughter of Mine,"$379,010 ",Strand Releasing
Round of Your Life,"$20,941 ",Ammo Content
Swing Kids,"$10,397,408 ",Well Go USA Entertainment
Rudy,"$131,200 ",Fathom Events
Best F(r)iends Volume Two,"$141,524 ",Fathom Events
The Little Mermaid,"$2,610,742 ",Conglomerate Media
Mr. Smith Goes to Washington,"$144,738 ",Fathom Events
Angels Are Made Of Light,"$7,919 ",Grasshopper Film
Night of the Living Dead,"$147,423 ",Fathom Events
Eating Animals,"$153,993 ",IFC Films
16 Bars,"$10,985 ",Lightyear Entertainment
Ferrante Fever,"$14,518 ",Greenwich Entertainment
Suburban Birds,"$10,997 ",The Cinema Guild
Ghost Stories,"$4,131,358 ",IFC Films
"Buttons, A New Musical Film","$151,983 ",Fathom Events
Bad Reputation,"$154,190 ",Magnolia Pictures
Museo,"$759,626 ",Vitagraph Films
Duet for Cannibals,"$11,741 ",Metrograph Pictures
If the Dancer Dances,"$10,912 ",Monument Releasing
Made Me Do It,"$11,151 ",Indican Pictures
I Do Not Care If We Go Down in History as Barbarians,"$39,171 ",Big World Pictures
Between the Lines,"$15,383 ",Cohen Media Group
National Theatre Live: The Curious Incident of the Dog in the Night-Time,"$160,381 ",Fathom Events
Yomeddine,"$81,030 ",Strand Releasing
In Like Flynn,"$11,255 ",Blue Fox Entertainment
Silencio,"$338,596 ",Tulip Pictures
That Part Feeling - the Universe of Arvo Part,"$8,812 ",Film Movement
Cold War,"$20,285,066 ",Amazon Studios
Vision Portraits,"$10,771 ",Stimulus Pictures
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,"$195,517 ",Magnolia Pictures
Is Genesis History?,"$166,763 ",Fathom Events
The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,"$167,991 ",Fathom Events
Double Lover,"$5,012,423 ",Cohen Media Group
Luis and the Aliens,"$12,627,729 ",Viva Pictures Distribution
Only the Brave,"$26,351,322 ",Sony Pictures Releasing
Far From the Tree,"$166,018 ",IFC Films
The Metropolitan Opera HD Live: Puccini: Turandot,"$219,619 ",Fathom Events
Always at The Carlyle,"$174,251 ",Good Deed Entertainment
The House That Jack Built,"$3,297,010 ",IFC Films
The Bolshoi Ballet: Live From Moscow - The Flames of Paris,"$175,922 ",Fathom Events
The Bolshoi Ballet: Live From Moscow - La Sylphide,"$171,177 ",Fathom Events
Journey's End,"$970,809 ",Good Deed Entertainment
Bricked,"$12,201 ",GathrFilms
Rampant,"$12,359,573 ",Well Go USA Entertainment
Quartet,"$12,042 ",Cohen Media Group
Stuffed,"$13,403 ",Music Box Films
The White Sheik,"$44,597 ",Rialto Pictures
Journey to the South Pacific,"$14,977,023 ",IMAX
The Disappearance of My Mother,"$55,749 ",Kino Lorber
The Guardians,"$4,167,608 ",Music Box Films
Zen for Nothing,"$12,107 ",Zeitgeist Films
Imprisoned,"$12,050 ",Cinema Libre Studio
"Cassandro, The Exotico!","$11,897 ",Film Movement
Karwaan,"$536,525 ",PackYourBag Films
Off Season,"$12,544 ",Indican Pictures
Cobra Kai Premiere Event feat. The Karate Kid,"$185,082 ",Fathom Events
National Theatre Live: King Lear,"$185,305 ",Fathom Events
The Accidental Detective 2: In Action,"$24,243,825 ",CJ Entertainment
BuyBust,"$223,720 ",Well Go USA Entertainment
Last Letter,"$11,834,622 ",China Lion Film Distribution
Maquia: When the Promised Flower Blooms,"$1,979,604 ",Eleven Arts
Owaranai hito: Miyazaki Hayao,"$187,320 ",GKIDS
Summer 1993,"$1,983,149 ",Oscilloscope
Goldbuster,"$57,628,292 ",Well Go USA Entertainment
The Monkey King 3,"$115,084,576 ",Well Go USA Entertainment
The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946 ",Fathom Events
Made in France,"$9,956 ",Under The Milky Way
Island of Lemurs: Madagascar,"$14,066,067 ",Warner Bros.
Madeline's Madeline,"$197,309 ",Oscilloscope
Rapid Response,"$13,294 ",Atlas Distribution Company
Peter and the Farm,"$18,123 ",Magnolia Pictures
This One's for the Ladies,"$13,688 ",Super
NightLights,"$21,147 ",Indican Pictures
The Cat Rescuers,"$31,540 ",Balcony Releasing
National Bird,"$10,656 ",FilmRise
My Son,"$14,450 ",Cohen Media Group
The House with a Clock in Its Walls,"$131,457,147 ",Universal Pictures
First Man,"$105,697,415 ",Universal Pictures
Born to Be Wild,"$41,615,256 ",Warner Bros.
Boy Erased,"$11,853,081 ",Focus Features
My Annoying Brother,"$19,162,324 ",CJ Entertainment
Hagazussa,"$21,487 ",Doppelganger Releasing
The Woman Who Loves Giraffes,"$41,763 ",Zeitgeist Films
Screwball,"$13,967 ",Greenwich Entertainment
Have It All -The Movie,"$197,142 ",Atlantic Records
The Final Year,"$262,286 ",Magnolia Pictures
Rebel Without a Cause,"$199,963 ",Fathom Events
Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935 ",Fathom Events
Frank and Ava,"$18,829 ",Hannover House
Touch Me Not,"$75,507 ",Kino Lorber
The Competition,"$15,622 ",Metrograph Pictures
Combat Obscura,"$14,242 ",Oscilloscope
Gauguin: Voyage to Tahiti,"$3,389,322 ",Cohen Media Group
Zama,"$489,692 ",Strand Releasing
Gemini,"$200,340 ",Neon
The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217 ",Fathom Events
Justice Is Mind,"$14,360 ",The Ashton Times
Our Time,"$36,240 ",Monument Releasing
ZZ Top: That Little Ol' Band from Texas,"$14,879 ",Abramorama
The Eyes of My Mother,"$29,539 ",Magnolia Pictures
Paths of the Soul,"$31,747 ",Icarus Films
La folle histoire de Max et Léon,"$8,750,678 ",Distrib Films
Amityville: The Awakening,"$8,481,997 ",Dimension Films
The Witness,"$159,305 ",FilmRise
2:22,"$3,945,729 ",Magnolia Pictures
The Hill Chris Climbed: The Gridiron Heroes Story,"$23,487 ",Indican Pictures
Anatahan,"$8,171 ",Kino Lorber
This Last Lonely Place,"$20,507 ",Indican Pictures
El Angel,"$5,604,680 ",The Orchard
Funan,"$15,152 ",GKIDS
Midnight Family,"$40,549 ",1091 Media
Off the Rails,"$34,249 ",The Film Collaborative
The Black Dove,"$22,517 ",Indican Pictures
Julian Schnabel: A Private Portrait,"$9,103 ",Cohen Media Group
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712 ",Atlas Distribution Company
I Am Not Madame Bovary,"$70,826,207 ",Well Go USA Entertainment
Wrinkles the Clown,"$14,938 ",Magnolia Pictures
A Private War,"$3,915,207 ",Aviron Pictures
Piercing,"$149,211 ",Greenwich Entertainment
Too Late to Die Young,"$24,487 ",KimStim
Three Peaks,"$23,069 ",Greenwich Entertainment
Starfish,"$15,849 ",Yellow Veil Pictures
Little Joe,"$157,492 ",Magnolia Pictures
To the Arctic 3D,"$23,692,624 ",Warner Bros.
Ode to Joy,"$22,594 ",IFC Films
Citizen K,"$119,625 ",Greenwich Entertainment
Chained for Life,"$17,431 ",Kino International
Ballon,"$11,782,161 ",Distrib Films
The House That Jack Built,"$2,268,855 ",IFC Films
Tremors,"$121,038 ",Film Movement
Virginia Minnesota,"$16,118 ",Indican Pictures
Keep the Change,"$202,788 ",Kino Lorber
The Dating Project,"$208,100 ",Fathom Events
Jane,"$1,921,221 ",Abramorama
The Cranes Are Flying,"$17,923 ",Janus Films
The Treasure of the Sierra Madre,"$215,295 ",Fathom Events
Joseph Pulitzer: Voice of the People,"$16,970 ",First Run
Scandalous: The True Story of the National Enquirer,"$18,759 ",Magnolia Pictures
The Producers,"$263,277 ",Fathom Events
Fragments of Truth,"$219,342 ",Fathom Events
Default,"$27,709,716 ",CJ Entertainment
Mazinger Z: INFINITY,"$4,812,371 ",Fathom Events
"Phoenix, Oregon","$18,356 ",Joma Films
Getting Grace,"$217,812 ",Hannover House
A Bad Moms Christmas,"$130,560,428 ",STX Entertainment
The Guilty,"$4,598,051 ",Magnolia Pictures
Agent Mr. Chan,"$208,351 ",China Lion Film Distribution
Little Pink House,"$220,948 ",Dada Films
Borg vs. McEnroe,"$3,430,165 ",Neon
MFKZ,"$461,724 ",GKIDS
Bishôjo senshi Sailor Moon Super S Special,"$231,434 ",Fathom Events
Youth,"$227,091,290 ",China Lion Film Distribution
Superman,"$233,585 ",Fathom Events
Hamlet,"$4,630,718 ",Fathom Events
Happy End,"$2,610,794 ",Sony Pictures Classics
Dark Money,"$217,932 ",PBS Distribution
Christine,"$313,465 ",The Orchard
Matangi/Maya/M.I.A,"$469,489 ",Abramorama
The Student,"$318,123 ",Under The Milky Way
The Loving Story,"$3,518 ",Icarus Films
The Lion in Winter,"$18,177 ",Rialto Pictures
The Penguin Counters,$976 ,First Run
Always Shine,"$17,102 ",Oscilloscope
Extraordinary Ordinary People,$880 ,First Run
Believe,"$890,303 ",Freestyle Releasing
Clash,"$143,121 ",Kino Lorber
A Different American Dream,"$1,172 ",First Run
Level Five,"$27,000 ",Icarus Films
The Battle of Algiers,"$56,853 ",Rialto Pictures
It's Not Yet Dark,"$5,269 ",FilmRise
Do Not Resist,"$72,791 ",Vanish Films
The Polar Express,"$765,154 ",Warner Bros.
Out of Blue,"$242,847 ",IFC Films
The Forest for the Trees,"$1,410 ",Film Movement
Almost Friends,"$35,842 ",Orion Pictures
The Outcasts,"$61,250 ",Swen Releasing
The Romans,"$19,705 ",Indican Pictures
Never,"$20,431 ",Indican Pictures
The Greasy Strangler,"$67,427 ",FilmRise
Magnus,"$101,739 ",FilmRise
Girls of the Sun,"$168,771 ",Cohen Media Group
The Perfect Race,"$24,729 ",Five & Two Pictures
Prassthanam,"$97,204 ",PackYourBag Films
The Sound of Silence,"$21,994 ",IFC Films
Detour,"$1,788 ",Magnolia Pictures
Alien Intrusion: Unmasking a Deception,"$237,411 ",Fathom Events
Armstrong,"$80,169 ",Gravitas Ventures
Jane and Emma,"$380,030 ",Excel Entertainment
Redoubt,"$24,197 ",Grasshopper Film
The Gospel of Eureka,"$20,039 ",Kino Lorber
Light of My Life,"$547,161 ",Saban Films
General Magic,"$20,046 ",Gravitas Ventures
Wicked Witches,"$21,600 ",Nocturnal Features
The Hole in the Ground,"$3,373,474 ",A24
The All Americans,"$20,324 ",Abramorama
Island of Lemurs: Madagascar,"$14,066,067 ",Warner Bros.
RWBY: Argus Limited,"$238,379 ",Fathom Events
Generation Wealth,"$287,709 ",Magnolia Pictures
Skate Kitchen,"$287,307 ",Magnolia Pictures
Hyènes,"$24,672 ",Metrograph Pictures
Light from Light,"$23,189 ",Grasshopper Film
The Fireflies Are Gone,"$245,006 ",Entertainment One
Batti Gul Meter Chalu,"$635,869 ",Eros International
London Fields,"$487,420 ",GVN Releasing
Best F(r)iends: Volume 1,"$290,064 ",Fathom Events
The Square,"$9,493,791 ",Magnolia Pictures
Big,"$258,507 ",Fathom Events
Across the Universe,"$258,618 ",Fathom Events
What They Had,"$533,579 ",Bleecker Street Media
"Intent to Destroy: Death, Denial & Depiction","$18,340 ",GathrFilms
Red Christmas,"$2,255 ",Artsploitation Films
Under the Sun,"$305,993 ",Icarus Films
The King,"$273,601 ",Oscilloscope
Back to Burgundy,"$11,625,884 ",Music Box Films
In Between,"$1,679,952 ",Film Movement
Miles,"$2,537 ",Freestyle Releasing
New World Order,"$20,205 ",Indican Pictures
A Grin Without A Cat,"$43,616 ",Icarus Films
Take Me,"$2,583 ",The Orchard
Behind the White Glasses,"$4,770 ",Kino Lorber
7 from Etheria,"$2,208 ",Parade Deck Films
Dayveon,"$2,077 ",FilmRise
The Ghoul,"$18,459 ",Arrow Films
"Accidental Courtesy: Daryl Davis, Race & America","$1,940 ",First Run
Apprentice,"$60,752 ",Film Movement
No Home Movie,"$32,757 ",Icarus Films
Kepler's Dream,"$2,923 ",Independent
Tanna,"$102,225 ",Lightyear Entertainment
Celebration,"$44,898 ",KimStim
1898: Our Last Men in the Philippines,"$1,995,045 ",Sony Pictures Releasing
Wildlife,"$3,321,351 ",IFC Films
Demons,"$2,900 ",Uncork'd Entertainment
Vox Lux,"$1,399,272 ",Neon
Chasing Einstein,"$24,057 ",Atlas Distribution Company
Invisible Life,"$1,661,611 ",Amazon Studios
Daughter of the Nile,"$2,640 ",Cohen Media Group
Santoalla,"$2,684 ",Oscilloscope
I Dream in Another Language,"$2,739 ",FilmRise
Piranhas,"$2,298,525 ",Music Box Films
Donnybrook,"$26,284 ",IFC Films
"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073 ",Greenwich Entertainment
El Norte,"$27,920 ",Fathom Events
The Wind,"$130,974 ",IFC Films
Asako I & II,"$626,871 ",Grasshopper Film
Kind Hearts and Coronets,"$73,913 ",Rialto Pictures
Eating You Alive,"$260,534 ",Fathom Events
Hotel by the River,"$101,879 ",The Cinema Guild
Memory: The Origins of Alien,"$37,272 ",Screen Media Films
Neither Wolf Nor Dog,"$589,289 ",InYo Entertainment
Doctor Who,"$264,629 ",Fathom Events
The Endless,"$956,425 ",Well Go USA Entertainment
Kings,"$910,269 ",The Orchard
Wrestle,"$26,597 ",Oscilloscope
The Day Shall Come,"$543,993 ",IFC Films
Detective Dee: The Four Heavenly Kings,"$90,040,771 ",Well Go USA Entertainment
The Load,"$28,118 ",Grasshopper Film
Disney's Newsies: The Broadway Musical!,"$282,429 ",Fathom Events
But Deliver Us from Evil,"$285,169 ",Indican Pictures
Andy Irons: Kissed by God,"$430,393 ",Fathom Events
More Than Funny,"$290,498 ",Fathom Events
Sunset Blvd.,"$299,645 ",Fathom Events
The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681 ",Fathom Events
Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482 ",Fathom Events
Science Fair,"$277,338 ",National Geographic Entertainment
In the Fade,"$5,104,991 ",Magnolia Pictures
Golden Job,"$47,279,677 ",Well Go USA Entertainment
The Bad Kids,"$6,226 ",FilmRise
Justice,"$3,259 ",Independent
Son of Bigfoot,"$47,046,281 ",Viva Pictures Distribution
Tower,"$101,987 ",Kino Lorber
The Levelling,"$118,451 ",Monterey Media
Damsel,"$323,235 ",Magnolia Pictures
Spices of Liberty,"$13,463 ",Hannover House
Bugs,"$3,742 ",Kino Lorber
Planetarium,"$546,584 ",Swen Releasing
On the Map,"$17,099 ",Hey Jude Productions
Bad Match,"$3,351 ",Orion Pictures
Le joli mai,"$55,038 ",Icarus Films
Amanda & Jack Go Glamping,"$3,352 ",Orion Pictures
Batman & Robin,"$28,793 ",Fathom Events
"Love, Sweat and Tears","$3,482 ",Kino Lorber
Who's Crazy?,"$3,497 ",Kino Lorber
Speed Sisters,"$3,423 ",First Run
La Belle Noiseuse,"$3,540 ",Cohen Media Group
In the Aisles,"$694,586 ",Music Box Films
Soul on a String,"$491,294 ",Film Movement
Lionel Richie at Glastonbury,"$30,123 ",Fathom Events
The Nun,"$32,659 ",Rialto Pictures
Vault,"$86,630 ",Grindstone Entertainment
Recorder: The Marion Stokes Project,"$47,755 ",Zeitgeist Films
MET Opera: Magic Flute,"$307,686 ",Fathom Events
The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088 ",Fathom Events
The Ground Beneath My Feet,"$29,251 ",Strand Releasing
The Opera House,"$325,235 ",Fathom Events
Los Reyes,"$30,418 ",Grasshopper Film
Sorry Angel,"$1,636,273 ",Strand Releasing
Hichki,"$26,055,222 ",Yash Raj Films
The Bolshoi Ballet: Live From Moscow - The Nutcracker,"$323,928 ",Fathom Events
Flower,"$380,553 ",The Orchard
Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,"$335,697 ",Fathom Events
Shine,"$333,388 ",GVN Releasing
Faces Places,"$3,998,450 ",Cohen Media Group
Russ Taff: I Still Believe,"$334,983 ",Fathom Events
Pasolini,"$30,757 ",Kino Lorber
Pom Poko,"$372,405 ",Fathom Events
Jane and Emma,"$380,030 ",Excel Entertainment
Get Out,"$255,407,969 ",Universal Pictures
The Gender Card Flip,"$3,774 ",Smarthouse Creative / Distribber
Suicide the Ripple Effect,"$347,468 ",GathrFilms
Dalida,"$5,623,134 ",Under The Milky Way
Under the Sea 3D,"$55,886,237 ",Warner Bros.
Badsville,"$4,153 ",Epic Pictures Group
Emily,"$3,982 ",Hibernation Films
Train to Busan,"$92,688,375 ",Well Go USA Entertainment
Kusama: Infinity,"$558,052 ",Magnolia Pictures
Believer,"$39,047,153 ",Well Go USA Entertainment
Deep Sea,"$98,209,886 ",Warner Bros.
Mountain,"$2,129,889 ",Greenwich Entertainment
Dream Boat,"$3,981 ",Strand Releasing
Singularity,"$86,822 ",Vertical Entertainment
The Woman Who Left,"$4,373 ",Kino Lorber
Bad Lucky Goat,"$5,088 ",Film Movement
A Boy Called Po,"$4,550 ",Freestyle Releasing
My Father Die,"$4,252 ",FilmRise
Gift,"$31,588 ",Matson Films
Desolation Center,"$32,016 ",Matson Films
Night School,"$4,663 ",Oscilloscope
I Love You Both,"$4,661 ",Magnolia Pictures
Memory of the Camps,"$4,468 ",First Run
Shakespeare-Wallah,"$4,650 ",Cohen Media Group
The Tribes of Palos Verdes,"$11,603 ",IFC Films
Vengeance: A Love Story,"$73,270 ",FilmRise
The Pulitzer at 100,"$4,489 ",First Run
An Acceptable Loss,"$32,427 ",IFC Films
10E,"$32,413 ",in8 Releasing
Ága,"$35,178 ",Big World Pictures
An Elephant Sitting Still,"$39,599 ",KimStim
Buddy,"$31,203 ",Grasshopper Film
The Wild Pear Tree,"$1,696,258 ",The Cinema Guild
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048 ",FUNimation Entertainment
White Snake,"$61,631,776 ",GKIDS
Jurassic Park,"$374,238 ",Fathom Events
Grace Jones: Bloodlight and Bami,"$632,394 ",Kino Lorber
Soorma,"$6,579,645 ",Sony Pictures Releasing
Oh Lucy!,"$600,145 ",Film Movement
Attack on Titan: Smoke Signal,"$377,334 ",FUNimation Entertainment
Moonlight Sonata: Deafness in Three Movements,"$33,823 ",Abramorama
Krull,"$397,157 ",Fathom Events
West Side Story,"$398,670 ",Fathom Events
Knife + Heart,"$341,847 ",Altered Innocence
Killer Unicorn,"$33,901 ",Indican Pictures
Vertigo,"$408,560 ",Fathom Events
Space Mutiny,"$397,887 ",Fathom Events
Miss Kiet's Children,"$9,384 ",Icarus Films
Icaros: A Vision,"$5,510 ",Factory 25
Hubble 3D,"$74,232,453 ",Warner Bros.
No culpes al karma de lo que te pasa por gilipollas,"$2,242,471 ",Sony Pictures Releasing
Shut In,"$13,082,071 ",EuropaCorp
Gold,"$1,528,185 ",Sony Pictures Releasing
Batman Forever,"$38,387 ",Fathom Events
The Cave,"$197,097 ",National Geographic Entertainment
The Man from Earth: Holocene,"$5,472 ",Parade Deck Films
Shot,"$4,701 ",Paladin
Reset,"$74,341 ",FilmRise
The Daughter,"$1,505,434 ",Kino Lorber
The Raft,"$47,269 ",Metrograph Pictures
Company Town,"$4,934 ",First Run
Trespass Against Us,"$517,197 ",A24
Union,"$41,656 ",Indican Pictures
The Ardennes,"$9,116 ",Film Movement
La Chinoise,"$5,631 ",Kino Lorber
The Gospel According to André,"$454,550 ",Magnolia Pictures
Leaning Into The Wind,"$452,372 ",Magnolia Pictures
We the Animals,"$434,743 ",The Orchard
Blade Runner 2049,"$259,239,658 ",Warner Bros.
"The Night Is Short, Walk on Girl","$3,878,208 ",GKIDS
Frankenstein,"$417,783 ",Fathom Events
The Philadelphia Story,"$404,524 ",Fathom Events
Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,"$422,760 ",Fathom Events
Shed of the Dead,"$38,901 ",Indican Pictures
A Bag of Marbles,"$10,898,998 ",Gaumont British Picture Corporation
The Oath,"$401,463 ",Roadside Attractions
Loving Vincent,"$42,187,665 ",Good Deed Entertainment
Porco Rosso,"$443,059 ",Fathom Events
Perfect Blue,"$450,594 ",GKIDS
DCI 2018 Tour Premeire,"$434,008 ",Fathom Events
Condorito: The Movie,"$8,431,194 ",Lionsgate
South Pacific,"$458,000 ",Fathom Events
Final Portrait,"$1,677,835 ",Sony Pictures Classics
Puffs: Filmed Live Off Broadway,"$464,483 ",Fathom Events
Starless Dreams,"$5,937 ",The Cinema Guild
The Vault,"$346,729 ",FilmRise
The Work,"$20,554 ",The Orchard
Scotty and the Secret History of Hollywood,"$461,689 ",Greenwich Entertainment
Chosen,"$9,536 ",Medallion Releasing
Dying to Know: Ram Dass & Timothy Leary,"$16,397 ",GathrFilms
The Seasons In Quincy: Four Portraits of John Berger,"$61,267 ",Icarus Films
Tad the Lost Explorer and the Secret of King Midas,"$35,704,046 ",Paramount Classics
"Kill Me, Deadly","$36,027 ",Indican Pictures
The Dark Below,"$7,095 ",Parade Deck Films
In the Steps of Trisha Brown,"$6,230 ",Icarus Films
On Wings of Eagles,"$5,975 ",Archstone Distribution
Arise from Darkness,"$6,112 ",Indican Pictures
Clemency,"$335,125 ",Neon
Best Worst Thing That Ever Could Have Happened...,"$106,986 ",Abramorama
Charlie Says,"$98,240 ",IFC Films
The Fuzz,"$6,067 ",Indican Pictures
The Skyjacker's Tale,"$6,253 ",Strand Releasing
Vita & Virginia,"$815,419 ",IFC Films
Immortal Hero,"$6,179,954 ",Freestyle Releasing
Zilla and Zoe,"$39,003 ",Indican Pictures
Aniara,"$40,124 ",Magnolia Pictures
The Star,"$43,510 ",Sony Pictures Releasing
Slut in a Good Way,"$44,240 ",Comedy Dynamics
Maze,"$44,381 ",Lightyear Entertainment
Midnight Traveler,"$50,336 ",Oscilloscope
For Sama,"$1,098,285 ",PBS Distribution
The Proposal,"$45,149 ",Oscilloscope
The Last Rampage,"$12,944 ",Epic Pictures Group
Inseparables,"$1,864,605 ",Film Movement
Fagara,"$1,265,949 ",China Lion Film Distribution
What Is Democracy?,"$44,536 ",Zeitgeist Films
Elizabeth Blue,"$6,542 ",Global Digital Releasing
American Dharma,"$51,891 ",Utopia
Carmine Street Guitars,"$44,253 ",Abramorama
The Persian Connection,"$6,634 ",The Samuel Goldwyn Company
A Kind of Loving,"$6,912 ",Rialto Pictures
Harry Benson: Shoot First,"$18,092 ",Magnolia Pictures
Scum,"$6,461 ",Kino Lorber
