title,budget,opening_theaters
Shoah: Four Sisters,N/A,1
Ex Libris: New York Public Library,N/A,1
Calling All Earthlings,N/A,N/A
The Lodgers,N/A,17
This is Congo,N/A,1
In Echo Park,N/A,2
In the Land of Pomegranates,N/A,1
Painless,N/A,2
Spiral,N/A,2
The Clovehitch Killer,N/A,26
Tall: The American Skyscraper and Louis Sullivan,N/A,1
Summer of '67,N/A,1
Blood Feast,"$1,200,000 ",1
Step Up: High Water,N/A,N/A
Spettacolo,N/A,2
El Mar La Mar,N/A,1
Legend of the Mountain,N/A,N/A
Dark River,N/A,2
The Crime of Monsieur Lange,N/A,1
Un traductor,N/A,1
Beauty and the Dogs,N/A,2
Please Stand By,N/A,5
Zoo Wars,N/A,12
Survivors Guide To Prison,N/A,4
Dying to Know: Ram Dass & Timothy Leary,N/A,N/A
Strangers on the Earth,N/A,1
That Summer,N/A,1
The Quest of Alain Ducasse,N/A,1
River Runs Red,N/A,20
Wedding Party 2,N/A,2
Furious,N/A,15
Bullitt County,N/A,9
Embrace: The Documentary,N/A,N/A
Mama Africa,N/A,1
Sicilian Ghost Story,N/A,1
Heavy Trip,N/A,16
Class Rank,N/A,N/A
Rendezvous in July,N/A,1
The Advocates,N/A,1
The Samuel Project,N/A,2
The Assassin's Code,N/A,12
Summer '03,N/A,2
Les Parents Terribles,N/A,1
Victoria & Abdul,N/A,4
The Public Image is Rotten,N/A,1
The Most Unknown,N/A,1
Souvenir,N/A,1
Hannah,N/A,2
Tyrel,N/A,5
Head Full of Honey,N/A,4
My Art,N/A,1
This is Our Land,N/A,1
The Last Race,N/A,3
Minding the Gap,N/A,4
Return of the Hero,N/A,1
Quest,N/A,1
American Chaos,N/A,26
Stavisky...,N/A,1
Let Yourself Go,N/A,8
Novitiate,N/A,3
The Boy Downstairs,N/A,1
American Socialist: The Life and Times of Eugene Victor Debs,N/A,1
How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,N/A,8
Like Me,N/A,3
Here and Now,N/A,51
"Lou Andreas-Salomé, The Audacity to be Free",N/A,1
PGS: Intuition Is Your Personal Guidance System,N/A,N/A
Shed Skin Papa,N/A,8
Our Blood is Wine,N/A,2
A Prayer Before Dawn,N/A,13
Thelma,N/A,1
Chasing the Blues,N/A,9
The Escape,N/A,N/A
Weed the People,N/A,1
Trust Machine: The Story of Blockchain,N/A,1
The Lucky Man,N/A,3
When You Read This Letter,N/A,1
Bob le Flambeur,N/A,1
Narcissister Organ Player,N/A,1
Ichi the Killer,N/A,1
Out on Stage,N/A,N/A
"Intent to Destroy: Death, Denial & Depiction",N/A,N/A
Just One Drop,N/A,N/A
The Last Movie Star,N/A,2
Haikara-San: Here Comes Miss Modern,N/A,51
The Charmer,N/A,1
People's Republic of Desire,N/A,N/A
Batman: Mask of the Phantasm,N/A,N/A
Marlina the Murderer in Four Acts,N/A,1
Allegiance to Broadway,N/A,N/A
Maquia: When the Promised Flower Blooms,N/A,13
Mrs. Hyde,N/A,1
Life and Nothing More,N/A,6
Crime + Punishment,N/A,3
Anything,N/A,3
Heading Home: The Tale of Team Israel,N/A,1
The Chronicle of Anna Magdalena Bach,N/A,2
"A Bread Factory, Part One/A Bread Factory, Part Two",N/A,2
Revival,N/A,N/A
King of Hearts,N/A,1
Who We Are Now,N/A,1
306 Hollywood,N/A,1
Gabriel and the Mountain,N/A,2
God's Own Country,N/A,2
Freak Show,N/A,1
Active Measures,N/A,2
November,N/A,1
The Devil and Father Amorth,N/A,8
Ice Dragon: Legend of the Blue Daisies,N/A,228
To the Arctic 3D,N/A,50
The Happys,N/A,2
Eight Hours Don't Make a Day,N/A,1
"One Sings, the Other Doesn't",N/A,1
Journey to the South Pacific,N/A,1
Primal Rage: The Legend of Konga,N/A,N/A
Apocalypsis,N/A,1
The Last Resort,N/A,1
The Tag Along: Devil Fish,N/A,8
Did You Wonder Who Fired the Gun?,N/A,3
Izzy Gets the F*ck Across Town,N/A,15
Ganja & Hess,N/A,1
The Workshop,N/A,1
Winning Formula,N/A,5
The Female Brain,N/A,2
Ava,N/A,1
Loving Pablo,N/A,15
Swimming with Men,N/A,31
Death House,N/A,1
Half the Picture,N/A,1
A Paris Education,N/A,1
The Atomic Cafe,N/A,1
An Elephant's Journey,N/A,N/A
No Intenso Agora,N/A,1
Jet Trash,N/A,2
The Judge,N/A,N/A
Birdboy: The Forgotten Children,N/A,4
Let There Be Light,N/A,373
Vazante,N/A,1
Take Point,N/A,2
The Divine Order,N/A,N/A
Ridge Runners,N/A,7
The Misandrists,N/A,1
Letter from Masanjia,N/A,2
Elliot the Littlest Reindeer,N/A,105
Milford Graves Full Mantis,N/A,1
Senso,N/A,1
The Amendment,N/A,N/A
Quai des Orfèvres,N/A,1
Restoring Tomorrow,N/A,N/A
Belle de Jour,N/A,1
The Desert Bride,N/A,2
Cold Water,N/A,1
Same Kind of Different as Me,N/A,"1,362"
Horn from the Heart: The Paul Butterfield Story,N/A,1
The Cured,N/A,3
On Her Shoulders,N/A,1
Poor Boy,N/A,4
The Apparition,N/A,7
Charm City,N/A,1
Saving Brinton,N/A,1
Desolation,N/A,2
Memories of Underdevelopment,N/A,1
The Mercy,N/A,N/A
Good Manners,N/A,1
Sollers Point,N/A,1
"No Date, No Signature",N/A,3
BPM (Beats Per Minute),N/A,2
Just Getting Started,"$22,000,000 ","2,161"
Moynihan,N/A,1
For Those Who Don't Read Me,N/A,5
The Big Bad Fox and Other Tales,N/A,N/A
Liyana,N/A,1
Goodland,N/A,2
Holy Hell,N/A,4
Maui,N/A,N/A
Le Corbeau,N/A,1
Galapagos,N/A,N/A
24 Frames,N/A,1
The Road Movie,N/A,19
The Other Side of Hope,N/A,3
Mind Game,N/A,7
The House of Tomorrow,N/A,8
"Hale County This Morning, This Evening",N/A,2
Gray Matter,N/A,12
Searching for Ingmar Bergman,N/A,1
Space Station 3D,N/A,24
Small Group,N/A,10
Breath,N/A,1
Mamma Mia!,"$52,000,000 ",243
Girls vs Gangsters,N/A,4
The Heart of Nuba,N/A,1
Western,N/A,1
Krystal,N/A,N/A
Oolong Courtyard: KungFu School,N/A,10
Golden Exits,N/A,1
Araby,N/A,1
