title,budget,opening_theaters
Under the Sun,N/A,2
The King,N/A,2
Back to Burgundy,N/A,5
In Between,N/A,2
Miles,N/A,2
New World Order,N/A,2
A Grin Without A Cat,N/A,1
Take Me,N/A,2
Behind the White Glasses,N/A,1
7 from Etheria,N/A,1
Dayveon,N/A,3
The Ghoul,N/A,1
"Accidental Courtesy: Daryl Davis, Race & America",N/A,1
Apprentice,N/A,N/A
No Home Movie,N/A,N/A
Kepler's Dream,N/A,11
Tanna,N/A,2
Celebration,N/A,1
1898: Our Last Men in the Philippines,N/A,10
Wildlife,N/A,4
Demons,N/A,2
Vox Lux,N/A,6
Chasing Einstein,N/A,4
Invisible Life,N/A,2
Daughter of the Nile,N/A,N/A
Santoalla,N/A,1
I Dream in Another Language,N/A,1
Piranhas,N/A,1
Donnybrook,N/A,80
"Leaving Home, Coming Home: A Portrait of Robert Frank",N/A,1
El Norte,N/A,179
The Wind,N/A,30
Asako I & II,N/A,2
Kind Hearts and Coronets,N/A,1
Eating You Alive,N/A,N/A
Hotel by the River,N/A,1
Memory: The Origins of Alien,N/A,19
Neither Wolf Nor Dog,N/A,N/A
Doctor Who,N/A,N/A
The Endless,N/A,1
Kings,N/A,215
Wrestle,N/A,1
The Day Shall Come,N/A,30
Detective Dee: The Four Heavenly Kings,N/A,31
The Load,N/A,1
Disney's Newsies: The Broadway Musical!,N/A,647
But Deliver Us from Evil,N/A,247
Andy Irons: Kissed by God,N/A,N/A
More Than Funny,N/A,N/A
Sunset Blvd.,N/A,628
The Bolshoi Ballet: Live From Moscow - Giselle,N/A,357
Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,N/A,486
Science Fair,N/A,1
In the Fade,N/A,3
Golden Job,N/A,34
The Bad Kids,N/A,1
Justice,N/A,10
Son of Bigfoot,N/A,N/A
Tower,N/A,N/A
The Levelling,N/A,1
Damsel,N/A,3
Spices of Liberty,N/A,1
Bugs,N/A,N/A
Planetarium,N/A,1
On the Map,N/A,1
Bad Match,N/A,N/A
Le joli mai,N/A,3
Amanda & Jack Go Glamping,N/A,N/A
Batman & Robin,"$125,000,000 ",N/A
"Love, Sweat and Tears",N/A,1
Who's Crazy?,N/A,1
Speed Sisters,N/A,1
La Belle Noiseuse,N/A,1
In the Aisles,N/A,1
Soul on a String,N/A,2
Lionel Richie at Glastonbury,N/A,N/A
The Nun,N/A,1
Vault,N/A,N/A
Recorder: The Marion Stokes Project,N/A,1
MET Opera: Magic Flute,N/A,647
The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,N/A,361
The Ground Beneath My Feet,N/A,1
The Opera House,N/A,604
Los Reyes,N/A,2
Sorry Angel,N/A,1
Hichki,N/A,73
The Bolshoi Ballet: Live From Moscow - The Nutcracker,N/A,360
Flower,N/A,3
Sailor Moon R: The Movie: The Promise of the Rose/Sailor Moon S: The Movie - Hearts in Ice,N/A,526
Shine,N/A,609
Faces Places,N/A,5
Russ Taff: I Still Believe,N/A,N/A
Pasolini,N/A,1
Pom Poko,N/A,733
Jane and Emma,N/A,21
Get Out,"$4,500,000 ","2,781"
The Gender Card Flip,N/A,1
Suicide the Ripple Effect,N/A,1
Dalida,N/A,1
Under the Sea 3D,N/A,49
Badsville,N/A,2
Emily,N/A,1
Train to Busan,N/A,27
Kusama: Infinity,N/A,2
Believer,N/A,32
Deep Sea,N/A,43
Mountain,N/A,1
Dream Boat,N/A,1
Singularity,N/A,10
The Woman Who Left,N/A,1
Bad Lucky Goat,N/A,3
A Boy Called Po,N/A,10
My Father Die,N/A,10
Gift,N/A,2
Desolation Center,N/A,3
Night School,N/A,1
I Love You Both,N/A,7
Memory of the Camps,N/A,1
Shakespeare-Wallah,N/A,1
The Tribes of Palos Verdes,N/A,1
Vengeance: A Love Story,N/A,11
The Pulitzer at 100,N/A,1
An Acceptable Loss,N/A,1
10E,N/A,2
Ága,N/A,1
An Elephant Sitting Still,N/A,1
Buddy,N/A,N/A
The Wild Pear Tree,N/A,1
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,N/A,N/A
White Snake,N/A,1
Jurassic Park,"$63,000,000 ",532
Grace Jones: Bloodlight and Bami,N/A,3
Soorma,N/A,50
Oh Lucy!,N/A,3
Attack on Titan: Smoke Signal,N/A,N/A
Moonlight Sonata: Deafness in Three Movements,N/A,1
Krull,N/A,507
West Side Story,"$6,000,000 ",616
Knife + Heart,N/A,2
Killer Unicorn,N/A,5
Vertigo,N/A,628
Space Mutiny,N/A,N/A
Miss Kiet's Children,N/A,2
Icaros: A Vision,N/A,1
Hubble 3D,N/A,39
No culpes al karma de lo que te pasa por gilipollas,N/A,10
Shut In,N/A,"2,058"
Gold,N/A,10
Batman Forever,"$100,000,000 ",434
The Cave,N/A,2
The Man from Earth: Holocene,N/A,2
Shot,N/A,N/A
Reset,N/A,2
The Daughter,N/A,N/A
The Raft,N/A,N/A
Company Town,N/A,1
Trespass Against Us,N/A,20
Union,N/A,4
The Ardennes,N/A,1
La Chinoise,N/A,1
The Gospel According to André,N/A,4
Leaning Into The Wind,N/A,5
We the Animals,N/A,3
Blade Runner 2049,"$150,000,000 ","4,058"
"The Night Is Short, Walk on Girl",N/A,10
Frankenstein,N/A,N/A
The Philadelphia Story,N/A,630
Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,N/A,N/A
Shed of the Dead,N/A,10
A Bag of Marbles,N/A,4
The Oath,N/A,10
Loving Vincent,N/A,1
Porco Rosso,N/A,734
Perfect Blue,N/A,491
DCI 2018 Tour Premeire,N/A,N/A
Condorito: The Movie,N/A,153
South Pacific,"$6,000,000 ",683
Final Portrait,N/A,3
Puffs: Filmed Live Off Broadway,N/A,606
Starless Dreams,N/A,1
The Vault,N/A,11
The Work,N/A,2
Scotty and the Secret History of Hollywood,N/A,1
Chosen,N/A,1
Dying to Know: Ram Dass & Timothy Leary,N/A,N/A
The Seasons In Quincy: Four Portraits of John Berger,N/A,1
Tad the Lost Explorer and the Secret of King Midas,N/A,100
"Kill Me, Deadly",N/A,2
The Dark Below,N/A,1
In the Steps of Trisha Brown,N/A,1
On Wings of Eagles,N/A,N/A
Arise from Darkness,N/A,N/A
Clemency,N/A,2
Best Worst Thing That Ever Could Have Happened...,N/A,2
Charlie Says,N/A,38
The Fuzz,N/A,2
The Skyjacker's Tale,N/A,1
Vita & Virginia,N/A,1
Immortal Hero,N/A,12
Zilla and Zoe,N/A,4
Aniara,N/A,19
The Star,"$20,000,000 ",623
Slut in a Good Way,N/A,7
Maze,N/A,2
Midnight Traveler,N/A,1
For Sama,N/A,3
The Proposal,N/A,1
The Last Rampage,N/A,18
Inseparables,N/A,N/A
Fagara,N/A,13
What Is Democracy?,N/A,1
Elizabeth Blue,N/A,10
American Dharma,N/A,1
Carmine Street Guitars,N/A,1
The Persian Connection,N/A,1
A Kind of Loving,N/A,1
Harry Benson: Shoot First,N/A,3
Scum,N/A,1
The Pathological Optimist,N/A,1
Sympathy for the Devil,N/A,6
Footnotes,N/A,1
Under the Silver Lake,N/A,2
The Happy Prince,N/A,8
The Final Wish,N/A,N/A
Suntan,N/A,1
The Bounty Killer,N/A,15
The Jazz Funeral,N/A,2
Another WolfCop,N/A,6
¡He matado a mi marido!,N/A,11
Free Trip to Egypt,N/A,1
Bilal: A New Breed of Hero,N/A,300
Monsters and Men,N/A,18
The Sandlot,N/A,410
Bullitt,N/A,586
Castle in the Sky,N/A,645
Grave of the Fireflies,N/A,715
"Love, Antosha",N/A,1
Fireworks,N/A,10
Clinton Road,N/A,10
The Great Battle,N/A,30
Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,N/A,691
Die Hard,"$28,000,000 ",687
The Children Act,N/A,23
The Spy Gone North,N/A,2
The Room,N/A,N/A
Anna and the Apocalypse,N/A,5
The Ex-File 3: The Return of The Exes,N/A,21
The Cat Returns,N/A,721
The Queen,N/A,1
The Wrong Light,N/A,1
Overdrive,N/A,20
The Ballad of Lefty Brown,N/A,2
From Nowhere,N/A,2
Served Like a Girl,N/A,4
Natasha,N/A,1
Heavy Water,N/A,N/A
Birthright: A War Story,N/A,1
Big Time,N/A,2
The Hate U Give,"$23,000,000 ",36
John Fogerty: 50 Year Trip - Live at Red Rocks,N/A,N/A
Swept Away,N/A,1
Mr. Chibbs,N/A,1
The Riot and the Dance,N/A,N/A
Husband Material,N/A,99
Loveless,N/A,3
The Big Lebowski,N/A,624
Pick of the Litter,N/A,2
We Are the Flesh,N/A,3
Maria By Callas,N/A,16
Mickey and the Bear,N/A,1
Maurizio Cattelan: Be Right Back,N/A,N/A
Burning,N/A,2
The Grateful Dead Meet-Up 2018,N/A,N/A
"DCI 2019: Big, Loud & Live 16",N/A,N/A
Marshall,"$12,000,000 ",821
The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,N/A,777
Félicité,N/A,1
The Florida Project,N/A,4
Last Year at Marienbad,N/A,1
The Sound of Music,"$8,200,000 ",640
Foxtrot,N/A,4
The Transformers,N/A,N/A
Painted Woman,N/A,N/A
Irreplaceable,N/A,2
Inspector Maigret,N/A,1
The Eyes,N/A,1
Itzhak,N/A,2
Sauvage / Wild,N/A,1
The Mountain,N/A,2
Amnesia,N/A,1
Lycan,N/A,5
By the Grace of God,N/A,2
Clarence,N/A,2
The Fiancé,N/A,4
Lovesong,N/A,1
Harry & Snowman,N/A,18
Amelia 2.0,N/A,1
Remember the Goal,N/A,77
Thirst Street,N/A,1
In Search of Fellini,N/A,3
This Changes Everything,N/A,N/A
End of the Century,N/A,1
The Sunshine Makers,N/A,1
Beautiful Boy,N/A,4
Machines,N/A,1
Pelle the Conqueror,N/A,1
Dragon Ball Z: Broly - The Legendary Super Saiyan,N/A,681
Lizzie,N/A,4
The Silence of Others,N/A,1
Cunningham,N/A,4
Ponyo,N/A,726
Being Frank,N/A,3
Bombshell: The Hedy Lamarr Story,N/A,1
The Trump Prophecy,N/A,N/A
Vox Lux,N/A,6
The Divine Move 2: The Wrathful,N/A,2
Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,N/A,536
The Body,N/A,78
"Love, Gilda",N/A,82
Blaze,N/A,3
Monster Hunt 2,N/A,69
Porto,N/A,1
The Island,N/A,40
Permanent,N/A,8
Boundaries,N/A,5
Mifune: The Last Samurai,N/A,1
Ugetsu,N/A,1
The Challenge,N/A,1
Blind,N/A,14
The Magnificent Seven,"$90,000,000 ","3,674"
I Can Speak,N/A,N/A
Sweet Virginia,N/A,1
The Son of Joseph,N/A,N/A
Beside Bowie: The Mick Ronson Story,N/A,1
Dead Awake,N/A,12
Saigon Bodyguards,N/A,1
Seven Beauties,N/A,1
Staying Vertical,N/A,4
Frank Serpico,N/A,1
Keep Quiet,N/A,1
4 Days in France,N/A,1
Batman Returns,"$80,000,000 ",N/A
Heal,N/A,1
Free Trip to Egypt,N/A,N/A
5B,N/A,128
Cliffs of Freedom,N/A,6
Edie,N/A,7
Diamantino,N/A,1
Fast Color,N/A,25
Christ Stopped at Eboli,N/A,1
The Battle of Jangsari,N/A,2
Styx,N/A,1
"Hale County This Morning, This Evening",N/A,2
Storm Boy,N/A,56
Working Woman,N/A,2
3 Faces,N/A,1
The Little Stranger,N/A,474
HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,N/A,533
Triple Threat,N/A,12
Mirai,N/A,69
The Catcher Was a Spy,N/A,46
Ploey,N/A,N/A
Savage,N/A,19
A Faithful Man,N/A,1
1945,N/A,2
On Chesil Beach,N/A,4
How Long Will I Love U,N/A,23
Pokémon the Movie: The Power of Us,N/A,989
The Party,N/A,3
Border,N/A,7
Made in India,N/A,193
Beast,N/A,4
The Metropolitan Opera HD Live: Nico Muhly: Marnie,N/A,669
Like Arrows,N/A,N/A
Schindler's List,"$22,000,000 ","1,029"
BANDSTAND: The Broadway Musical on Screen,N/A,N/A
Junction 48,N/A,2
Tea With the Dames,N/A,1
The Polar Express,"$165,000,000 ",N/A
In the Fade,N/A,3
Charged: The Eduardo Garcia Story,N/A,N/A
Legend of the Naga Pearls,N/A,4
Birdboy: The Forgotten Children,N/A,4
Time to Die,N/A,1
Abracadabra,N/A,10
Swing Kids,N/A,15
The Beatles: Eight Days a Week - The Touring Years,N/A,85
Taipei Story,N/A,1
High Strung Free Dance,N/A,106
"Intent to Destroy: Death, Denial & Depiction",N/A,3
Once Upon a Deadpool,"$110,000,000 ","1,566"
The Old Man & the Gun,N/A,5
Saint Judy,N/A,55
Cyrano de Bergerac,N/A,N/A
After Love,N/A,1
Red Trees,N/A,9
The Heiresses,N/A,2
Skid Row Marathon,N/A,438
Ms. Purple,N/A,1
Looking Up,N/A,13
Woodstock,N/A,2
Kedarnath,N/A,113
Let the Sunshine In,N/A,2
Papi Chulo,N/A,2
The Star,"$20,000,000 ","2,837"
Mayday Life,N/A,8
The Dawn Wall,N/A,N/A
Film Stars Don't Die in Liverpool,N/A,4
Kirk Cameron: Connect,N/A,N/A
White Christmas,N/A,638
Tiger Zinda Hai,"$20,470,000 ",299
Little Italy,N/A,133
The Leisure Seeker,N/A,N/A
The Miseducation of Cameron Post,N/A,2
The Cakemaker,N/A,4
Vince Giordano: There's a Future in the Past,N/A,1
Paradise,N/A,1
Victor,N/A,12
Sound! Euphonium the Movie - Our Promise: A Brand New Day,N/A,N/A
Brotherhood of Blades 2,N/A,2
Antarctica: Ice and Sky,N/A,N/A
My Dear Liar,N/A,29
The Farthest,N/A,2
The Crossing,N/A,28
Rebels on Pointe,N/A,2
Ramen Shop,N/A,2
SHOT! The Psycho-Spiritual Mantra of Rock,N/A,2
Hunter Gatherer,N/A,N/A
Varda by Agnès,N/A,2
A Bigger Splash,N/A,1
Loopers: The Caddie's Long Walk,N/A,68
Labyrinth,N/A,576
The Insult,N/A,3
Wildlife,N/A,4
Elvis: The Comeback Special,N/A,N/A
Mapplethorpe,N/A,3
The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,N/A,705
The Metropolitan Opera HD Live: Rossini: Semiramide,N/A,691
Rojo,N/A,2
Nothing to Lose,N/A,69
Zero,N/A,300
The Dark Crystal,N/A,609
Raid,N/A,79
Yellow Submarine,N/A,73
The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,N/A,687
My Neighbor Totoro,N/A,718
Always Miss You,N/A,14
Along With the Gods: The Two Worlds,N/A,17
Qué León,N/A,34
Lean on Pete,N/A,4
Miss Sloane,N/A,3
All the Queen's Horses,N/A,1
Swim Team,N/A,1
Margaret Atwood: Live in Cinemas,N/A,N/A
The Freedom to Marry,N/A,1
Wonders of the Sea,N/A,N/A
The Wound,N/A,N/A
Kills On Wheels,N/A,1
Mirai,N/A,69
The Song of Names,N/A,10
The Image Book,N/A,33
Mission Control: The Unsung Heroes of Apollo,N/A,N/A
Anthropocene: The Human Epoch,N/A,7
Brave New Jersey,N/A,14
Mojin: The Worm Valley,N/A,17
The Third Wife,N/A,1
Walking on Water,N/A,2
Andhadhun,N/A,56
The Metropolitan Opera HD Live: Verdi: Luisa Miller,N/A,685
The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,N/A,699
Spirited Away,N/A,720
Tazza: One-Eyed Jack,N/A,22
The Divine Fury,N/A,23
Penguin Highway,N/A,84
An Interview with God,N/A,N/A
Miss & Mrs. Cops,N/A,2
Grease,"$6,000,000 ",700
Beautifully Broken,N/A,651
Mandy,N/A,75
The Sacrifice,N/A,1
The Metropolitan Opera HD Live: Massenet: Cendrillon,N/A,684
The Seagull,N/A,6
Racetime,N/A,86
Along With the Gods: The Last 49 Days,N/A,48
Sacred,N/A,1
All the Rage,N/A,1
Contemporary Color,N/A,1
Food Evolution,N/A,1
L'important c'est d'aimer,N/A,1
Bad Grandmas,N/A,1
Harmonium,N/A,1
Trafficked,N/A,17
Shoplifters,N/A,5
Carrie Pilby,N/A,6
Burden,N/A,2
Mansfield 66/67,N/A,1
The Last Shaman,N/A,1
Bobbi Jene,N/A,1
Glory,N/A,2
"Belle and Sebastian, Friends for Life",N/A,38
Mob Psycho 100,N/A,375
The Audience,N/A,N/A
The Kingmaker,N/A,2
Be Natural: The Untold Story of Alice Guy-Blaché,N/A,1
Cold Case Hammarskjöld,N/A,10
Downtown 81,N/A,1
Portrait of a Lady on Fire,N/A,2
The Metropolitan Opera HD Live: Mozart: Così fan tutte,N/A,687
Babylon,N/A,1
McQueen,N/A,4
The Fall of the American Empire,N/A,72
Police Story,N/A,5
The Brink,N/A,4
Branagh Theatre Live: The Winter's Tale,N/A,92
Dunkirk,"$100,000,000 ",53
Little Women,N/A,643
102 Not Out,N/A,102
Baaghi 2,N/A,123
Made for More,N/A,N/A
"Ruben Brandt, Collector",N/A,1
The Reports on Sarah and Saleem,N/A,4
Operation Red Sea,N/A,45
Finding Your Feet,N/A,14
Princess Mononoke,N/A,731
"Don't Worry, He Won't Get Far on Foot",N/A,4
Thugs of Hindostan,N/A,377
The Metropolitan Opera HD Live: Verdi: Aida,N/A,699
A Private War,N/A,4
Heat and Dust,N/A,4
The Blackcoat's Daughter,N/A,26
All These Sleepless Nights,N/A,3
Trophy,N/A,1
The Girl Without Hands,N/A,1
The Bookshop,N/A,4
Man Underground,N/A,3
RV: Resurrected Victims,N/A,11
Better Watch Out,N/A,25
Absolutely Anything,N/A,N/A
The Man from Outer Space,N/A,2
The Lucky Man,N/A,3
The Passion of Joan of Arc,N/A,1
Massacre on Aisle 12,N/A,1
A Beginner's Guide to Snuff,N/A,3
Whisky Galore,N/A,N/A
God Knows Where I Am,N/A,N/A
Easy Rider,"$360,000 ",252
Bending the Arc,N/A,2
The Transfiguration,N/A,1
The Recall,N/A,7
Avant qu'on explose,N/A,35
Mary Magdalene,N/A,62
A Tuba to Cuba,N/A,2
Una,N/A,1
My Scientology Movie,N/A,2
Woodstock,N/A,N/A
Paradise Club,N/A,2
The Zoya Factor,N/A,100
Peppa Celebrates Chinese New Year,N/A,67
Made in Abyss: Journey's Dawn,N/A,N/A
Burning,N/A,2
Okko's Inn,N/A,1
Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,N/A,N/A
Paris Is Burning,"$500,000 ",1
Lost & Found,N/A,N/A
Born to Be Wild,N/A,206
Wilder vs. Ortiz,N/A,186
Race 3,N/A,314
Canelo vs. Kovalev,N/A,471
Palau the Movie,N/A,N/A
On the Basis of Sex,N/A,33
Pad Man,N/A,152
Mister America,N/A,2
The Other Story,N/A,5
The Metropolitan Opera HD Live: Puccini: La Bohème,N/A,687
Moses,N/A,673
Who Will Write Our History,N/A,1
Rafiki,N/A,26
Hubble 3D,N/A,39
Ben Is Back,N/A,4
The Metropolitan Opera HD Live: Verdi: La Traviata,N/A,725
Detective Chinatown 2,N/A,115
The Front Runner,N/A,4
A Fantastic Woman,N/A,5
Assassination Nation,N/A,"1,403"
Pope Francis: A Man of His Word,N/A,346
At Eternity's Gate,N/A,4
The Metropolitan Opera HD Live: Puccini: Tosca,N/A,691
The Fall of the American Empire,N/A,72
Simmba,N/A,301
If Beale Street Could Talk,N/A,4
Murder on the Orient Express,"$55,000,000 ","3,341"
Daddy's Home 2,"$69,000,000 ","3,575"
Papillon,N/A,544
Queen of Katwe,"$15,000,000 ",52
The Departure,N/A,1
The Grace of Jake,N/A,2
Puzzle,N/A,5
Saving Brinton,N/A,1
They Call us Monsters,N/A,N/A
Naples '44,N/A,1
Jasmine,N/A,3
Simple Creature,N/A,3
Finding Oscar,N/A,1
For Ahkeem,N/A,3
"A Woman, a Part",N/A,1
30 Years of Garbage: The Garbage Pail Kids Story,N/A,2
The Old Dark House,N/A,N/A
The Untamed,N/A,1
The Crime of Monsieur Lange,N/A,1
Paradise,N/A,4
Radio Dreams,N/A,1
Doctor Who: Logopolis,N/A,N/A
Trial by Fire,N/A,109
Framing John DeLorean,N/A,1
Little Woods,N/A,33
Hampstead,N/A,12
Ribbons,N/A,5
Glory,N/A,435
Marius/Fanny/César,N/A,1
Peterloo,N/A,3
The Villainess,N/A,1
Halston,N/A,1
Before You Know It,N/A,3
Dogman,N/A,3
War and Peace,N/A,1
The Death and Life of John F. Donovan,N/A,25
Batman,"$35,000,000 ",489
Them That Follow,N/A,3
The World Before Your Feet,N/A,2
Monty Python's Life of Brian,N/A,47
Jay Myself,N/A,1
"Diana Ross: Her Life, Love and Legacy",N/A,N/A
1991,N/A,83
The Rider,N/A,3
Mary and the Witch's Flower,N/A,161
Suspiria,N/A,2
Money,N/A,N/A
A Beautiful Planet,N/A,137
Synonyms,N/A,2
Bharath Ane Nenu,N/A,305
You Were Never Really Here,N/A,3
Thoroughbreds,N/A,549
La boda de Valentina,N/A,331
God Bless the Broken Road,N/A,"1,272"
American Animals,N/A,4
Whitney,N/A,451
The Sisters Brothers,N/A,4
Bad Samaritan,N/A,"2,007"
The Leisure Seeker,N/A,N/A
2001: A Space Odyssey,"$12,000,000 ",4
"Juliet, Naked",N/A,4
The Disaster Artist,N/A,19
7 Days in Entebbe,N/A,838
Hearts Beat Loud,N/A,4
The Oscar Nominated Short Films 2018: Live Action,N/A,198
Mali Blues,N/A,N/A
Berlin Syndrome,N/A,25
First Reformed,N/A,4
Justice League,N/A,"4,051"
Disobedience,N/A,5
False Confessions,N/A,2
Lemon,N/A,2
Signature Move,N/A,1
In Pursuit of Silence,N/A,1
On the Beach at Night Alone,N/A,1
7 Witches,N/A,1
Sidemen: Long Road to Glory,N/A,1
Super Dark Times,N/A,21
Alone in Berlin,N/A,2
No Greater Love,N/A,22
INXS: Baby Live at Wembly Stadium,N/A,N/A
Dealt,N/A,1
Wasted! The Story of Food Waste,N/A,11
Uncertain,N/A,N/A
Bright Ones,N/A,614
Love & Taxes,N/A,1
XX,N/A,7
Dave Made a Maze,N/A,17
Nureyev: Lifting the Curtain,N/A,5
Bolshoi Ballet: The Golden Age,N/A,360
Afterimage,N/A,1
Sunset,N/A,3
Ashfall,N/A,2
Bad Guys: The Movie,N/A,11
Asbury Park: Riot Redemption Rock 'n Roll,N/A,205
Frankie,N/A,4
India's Most Wanted,N/A,110
The Warrior Queen of Jhansi,N/A,276
Marjaavaan,N/A,65
Bolshoi Ballet: Raymonda,N/A,383
Raymonda: Bolshoi Ballet,N/A,383
Robin Hood,"$100,000,000 ","2,827"
Giant Little Ones,N/A,1
Deep Sea,N/A,43
42nd Street: The Musical,N/A,N/A
The Divine Plan,N/A,N/A
Tigers Are Not Afraid,N/A,6
"Iyengar: The Man, Yoga, and the Student's Journey",N/A,1
Indivisible,N/A,830
Bolshoi Ballet: Le Corsaire,N/A,383
Mr. Klein,N/A,1
Gosnell: The Trial of America's Biggest Serial Killer,N/A,673
Thor: Ragnarok,"$180,000,000 ","4,080"
Sgt. Stubby: An American Hero,N/A,"1,633"
The River and the Wall,N/A,57
To Dust,N/A,1
Life Itself,N/A,"2,609"
Ya veremos,N/A,369
Burn the Stage: The Movie,N/A,629
Pagalpanti,N/A,116
Blindspotting,N/A,14
Gotti,N/A,503
Johnny English Strikes Again,"$25,000,000 ",544
Father Figures,N/A,"2,902"
Samson,N/A,"1,249"
Gringo,N/A,"2,404"
Beirut,N/A,755
Action Point,"$19,000,000 ","2,032"
Colette,N/A,4
Kin,N/A,"2,141"
God's Not Dead: A Light in Darkness,N/A,"1,693"
My Hero Academia: Two Heroes,N/A,508
Pandas,N/A,33
Death of a Nation,"$6,000,000 ","1,005"
Once Upon a Deadpool,"$110,000,000 ","1,566"
Leave No Trace,N/A,9
Every Day,"$4,900,000 ","1,667"
The Hurricane Heist,"$35,000,000 ","2,402"
Le Trou,N/A,1
Rat Film,N/A,2
Growing Up Smith,N/A,5
The Edge of Seventeen,"$9,000,000 ","1,945"
The Commune,N/A,7
School Life,N/A,1
Maurice,N/A,1
Heart Blackened,N/A,N/A
78/52: Hitchcock's Shower Scene,N/A,1
A Woman's Life,N/A,2
Sophie and the Rising Sun,N/A,N/A
Woodshock,N/A,3
Hermia & Helena,N/A,2
Karl Marx City,N/A,N/A
One Week and a Day,N/A,3
Unrest,N/A,1
The Settlers,N/A,N/A
Seasons,N/A,13
I Am the Blues,N/A,4
The Death of Louis XIV,N/A,1
Just One Drop,N/A,N/A
Friendsgiving Day #2,N/A,N/A
Bluebeard,N/A,14
"Léon Morin, Priest",N/A,1
A Beautiful Planet,N/A,137
Blink of an Eye,N/A,N/A
Forrest Gump,"$55,000,000 ",560
Venom,"$100,000,000 ","4,250"
Bolshoi Ballet: Carmen Suite/Petrushka,N/A,362
Play the Flute,N/A,N/A
Chasing the Dragon II: Wild Wild Bunch,N/A,16
Family,N/A,3
Hamlet,N/A,N/A
The Possession of Hannah Grace,"$7,700,000 ","2,065"
"Faith, Hope & Love",N/A,18
The Iron Orchard,N/A,8
Dabangg 3,N/A,N/A
Hesburgh,N/A,2
Never Surrender: A Galaxy Quest Documentary,N/A,N/A
Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,N/A,194
Kathy Griffin: A Hell of a Story,N/A,N/A
Master Z: The Ip Man Legacy,N/A,61
Fahrenheit 11/9,N/A,"1,719"
A-X-L,N/A,"1,710"
Unbroken: Path to Redemption,N/A,"1,620"
The Karate Kid,N/A,588
Hotel Artemis,N/A,"2,407"
First Love,N/A,2
Boy Erased,N/A,5
"The Gangster, the Cop, the Devil",N/A,21
Downsizing,"$68,000,000 ","2,668"
Mine 9,N/A,23
Dog Days,N/A,"2,442"
Mid90s,N/A,4
Can You Ever Forgive Me?,N/A,5
Unsane,N/A,"2,023"
Sanju,N/A,356
Beautiful Boy,N/A,4
They Shall Not Grow Old,N/A,N/A
Welcome to Marwen,N/A,"1,911"
Unfriended: Dark Web,"$1,000,000 ","1,546"
Tully,N/A,"1,353"
Under the Sea 3D,N/A,49
Traffik,N/A,"1,046"
Midnight Sun,N/A,"2,173"
Panique,N/A,1
The Death of Stalin,N/A,4
Saving Banksy,N/A,1
The Wife,N/A,4
Tampopo,N/A,1
Napping Princess,N/A,14
Early Man,N/A,"2,494"
The Force,N/A,N/A
My Journey Through French Cinema,N/A,3
The Paris Opera,N/A,4
Twenty Two,N/A,11
DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,N/A,426
So B. It,N/A,2
From the Land of the Moon,N/A,2
Extraordinary Mission,"$23,000,000 ",20
Person to Person,N/A,3
The Ornithologist,N/A,2
Tickling Giants,N/A,1
I Called Him Morgan,N/A,1
American Woman,N/A,117
Beautiful Accident,N/A,15
Doctor Who: The End of Time: Part One,N/A,N/A
Friendsgiving Day #1,N/A,766
Premier Boxing Champions: PBC on FOX: Spence vs. Porter,N/A,239
Canal Street,N/A,73
The Twilight Zone: A 60th Anniversary Celebration,N/A,N/A
Romeo Akbar Walter,N/A,101
Give Me Liberty,N/A,3
Meeting Gorbachev,N/A,2
When Harry Met Sally...,N/A,660
God of War,N/A,27
Bolshoi Ballet: The Nutcracker,N/A,401
311 Enlarged to Show Detail 3,N/A,N/A
63 Up,N/A,1
Mobile Suit Gundam Narrative,N/A,N/A
Mary Queen of Scots,N/A,4
The Miracle Season,N/A,"1,707"
I Got the Hook Up 2,N/A,37
Padmaavat,N/A,326
The Old Man & the Gun,N/A,5
Upgrade,N/A,"1,457"
Hell Fest,"$5,500,000 ","2,297"
Lords of Chaos,N/A,4
Wonder,N/A,"3,096"
Three Identical Strangers,N/A,5
Free Solo,N/A,4
Her Smell,N/A,3
Call Me by Your Name,N/A,4
All the Money in the World,N/A,"2,074"
The Darkest Minds,"$34,000,000 ","3,127"
RBG,N/A,34
The Possession of Hannah Grace,"$7,700,000 ","2,065"
Eighth Grade,N/A,4
The Girl in the Spider's Web,"$43,000,000 ","2,929"
Happy End,N/A,3
Tomorrow,N/A,1
Worlds Apart,N/A,1
The Boom,N/A,1
Donald Cried,N/A,2
The Teacher,N/A,5
Fire at Sea,N/A,N/A
